n.id,n.label_en,n.label_tr,common,good for breakfast,"1 = all, 2= Dutch, 3= Turkish, 4=USA"
ingredient#nevo:1,Potatoes,Patates,1,,
ingredient#nevo:121,Potatoes mashed fresh prep w semi-sk milk+marg,"Patates, püre taze süt ile hazırlanmış",1,,
ingredient#nevo:667,Cassava,Manyok,1,,
ingredient#nevo:668,Taro,Gölevez,1,,
ingredient#nevo:669,Yam,Yam,1,,
ingredient#nevo:670,Tannia,Tannia,1,,
ingredient#nevo:671,Potato sweet,Tatlı patates,1,,
ingredient#nevo:737,Potatoes mashed instant prepared av,"Patates, püre anlık av hazırlanan",1,,
ingredient#nevo:856,Rosti unprepared,"Rosti, hazırlanmamış ",1,,
ingredient#nevo:948,Rosti prepared wo fat,"Rosti, yağsız hazırlanan",1,,
ingredient#nevo:982,Potatoes wo skin boiled average,"Patates, derisiz, haşlanmış, ortalama",1,,
ingredient#nevo:1150,Potatoes slices/parts frozen unprepared,"Patates, dilim / parçalar, dondurulmuş",1,,
ingredient#nevo:1455,Potato puree powder av,"Patates, püre, toz, av",1,,
ingredient#nevo:1457,Potatoes fried,"Patates, kızarmış",1,,
ingredient#nevo:1678,Potatoes sliced frozen deep-fried in vegetable oil,"Patates, dilimlenmiş, bitkisel yağda kızartılmış",1,,
ingredient#nevo:1680,Potato croquettes frozen prepared,"Patates kroketler, dondurulmuş",1,,
ingredient#nevo:2109,Cassava boiled,"Manyok, haşlanmış",1,,
ingredient#nevo:2110,Taro boiled,"Taro, haşlanmış",1,,
ingredient#nevo:2111,Yam boiled,"Yam, haşlanmış",1,,
ingredient#nevo:2112,Potato sweet boiled,"Tatlı patates, haşlanmış",1,,
ingredient#nevo:2315,Tannia prepared wo fat,"Tannia, yağsız hazırlanmış",1,,
ingredient#nevo:2325,Potatoes boiled w skin average,"Patates, kabuklu, ortalama ile, haşlanmış",1,,
ingredient#nevo:2326,Potato croquettes frozen unprepared,"Patates kroket, dondurulmuş, hazırlanmamış ",1,,
ingredient#nevo:5099,Potatoes slices/parts frozen with spices unprepared,"Patates, dilim / parçaları, baharat, dondurulmuş",1,,
ingredient#nevo:153,Redcurrants,Kırmızı frenk üzümü,1,,
ingredient#nevo:155,Bilberries,Yabanmersini,1,,
ingredient#nevo:156,Cowberries,Kekreyemiş,1,,
ingredient#nevo:161,Raspberries,Ahududu,1,,
ingredient#nevo:164,Gooseberries,Bektaşı üzümü,1,,
ingredient#nevo:165,Manderins,Manderins,1,,
ingredient#nevo:3198,Medlar,Muşmula,1,,
ingredient#nevo:3445,Goji berries dried,"Goji meyveleri, kurutulmuş",1,,
ingredient#nevo:7,Endive,Hindiba,1,,
ingredient#nevo:8,Endive boiled,"Hindiba, haşlanmış",1,,
ingredient#nevo:10,Aubergine,Patlıcan,1,,
ingredient#nevo:11,Aubergine boiled,"Patlıcan, haşlanmış",1,,
ingredient#nevo:15,Cauliflower boiled,"Karnabahar, haşlanmış",1,,
ingredient#nevo:26,Celeriac boiled,"Celeriac, haşlanmış",1,,
ingredient#nevo:29,Swede boiled,"İsveçli, haşlanmış",1,,
ingredient#nevo:30,Kohlrabi boiled,"Alabaş, haşlanmış",1,,
ingredient#nevo:35,Mange-tout,Sultaniye bezelye,1,,
ingredient#nevo:36,Purslane boiled,"Semizotu, haşlanmış",1,,
ingredient#nevo:45,Salsify,Teke sakalı,1,,
ingredient#nevo:57,Sweetcorn boiled,"Mısır, haşlanmış",1,,
ingredient#nevo:58,Bean sprouts,Fasulye lahanası,1,,
ingredient#nevo:59,Bean sprouts boiled,"Fasulye filizi, haşlanmış",1,,
ingredient#nevo:67,Chicory,Hindiba,1,,
ingredient#nevo:68,Chicory boiled,"Hindiba, haşlanmış",1,,
ingredient#nevo:71,Carrot average,"Havuç, ortalama",1,,
ingredient#nevo:72,Carrot boiled average,"Havuç, haşlanmış, ortalama",1,,
